code,name,source,category,section,page_pdf,air_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,bdd_percent
AR011,Parboiled rice,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,10.0,353,6.8,0.6,80.0,0.5,2.5,5.0,142.0,0.8,2.0,46.0,0.28,1.0,0.0,0.0,,0.22,0.11,3.4,0.0,100.0
AR012,"Pounded rice, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,11.5,354,7.8,0.4,79.9,3.8,0.4,3.0,112.0,0.6,5.0,85.0,0.5,1.5,0.0,0.0,,0.25,0.22,5.1,0.0,100.0
AR013,"Pounded red rice, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,14.6,352,7.3,0.9,76.2,0.8,1.0,15.0,257.0,4.2,10.0,202.0,0.36,1.9,0.0,0.0,0.0,0.34,0.0,3.3,0.0,100.0
AR014,"Sorghum, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,11.0,366,11.0,3.3,73.0,1.2,1.7,28.0,287.0,4.4,7.0,249.0,,,0.0,0.0,,0.09,0.14,2.8,0.0,100.0
AR016,"Corn kernels, dried, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.5,366,9.8,7.3,69.1,2.2,2.4,30.0,538.0,2.3,5.0,79.4,0.1,4.1,,636.0,641.0,0.12,0.12,1.8,3.0,100.0
AR017,"Corn kernels var. Harapan, dried",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.3,367,6.2,5.1,76.2,2.6,1.2,7.0,354.0,2.8,1.0,79.6,0.1,4.1,,637.0,385.0,0.19,0.08,1.0,0.0,100.0
AR018,"Corn kernels var. Metro, dried",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,10.6,368,5.5,4.6,78.0,2.9,1.3,7.0,300.0,2.4,1.0,80.2,0.1,4.1,,642.0,554.0,0.16,0.08,1.0,0.0,100.0
AR019,"Job's tears (adlay millet), raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,23.0,324,11.0,4.0,61.0,3.1,1.0,213.0,176.0,11.0,24.0,,0.1,0.4,,,,0.14,0.08,1.8,0.0,90.0
AR020,"Foxtail millet, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.9,364,9.7,3.5,73.4,8.2,1.5,28.0,311.0,5.3,7.0,255.1,0.45,1.5,,33.0,,0.33,0.28,4.5,,100.0
AR021,"Upland barnyard millet, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.7,350,6.2,1.4,78.2,1.7,2.5,329.0,254.0,5.3,53.0,396.7,0.7,1.6,,33.0,,0.51,0.3,0.7,0.0,100.0
AP001,Cooked white rice,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,56.7,180,3.0,0.3,39.8,0.2,0.2,25.0,27.0,0.4,1.0,38.0,0.1,0.6,0.0,0.0,,0.05,0.1,2.6,0.0,100.0
AP002,Steamed rice,OKN-1992,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,71.0,120,2.4,0.4,26.0,0.5,0.2,3.0,7.0,0.4,0.0,23.9,0.1,0.4,,0.0,,0.1,0.0,1.4,0.0,100.0
AP003,Fermented rice,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,75.5,99,1.7,0.3,22.4,0.0,0.1,4.0,19.0,0.0,26.0,2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
AP004,"Rice flour, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,12.0,353,7.0,0.5,80.0,2.4,0.5,5.0,140.0,0.8,5.0,241.0,0.1,0.8,0.0,0.0,0.0,0.12,0.1,1.2,0.0,100.0
AP005,Cooked red rice,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,64.0,149,2.8,0.4,32.5,0.3,0.3,6.0,63.0,0.8,5.0,91.4,0.2,0.9,0.0,0.0,0.0,0.06,0.0,1.6,0.0,100.0
AP006,"Rice vermicelli, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,12.9,348,4.7,0.1,82.1,1.2,0.2,6.0,35.0,1.8,12.0,5.0,0.08,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0
AP007,Instant fried rice vermicelli,KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,9.0,381,6.1,3.9,80.3,,0.7,266.0,151.0,2.9,928.0,,,,58.0,,400.0,0.37,,,0.0,100.0
AP008,"Corn vermicelli, raw",BKP,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.3,354,0.5,0.3,87.4,3.0,0.5,13.0,111.0,0.6,49.0,1.4,0.4,0.0,,0.0,0.0,0.02,0.02,0.3,0.0,100.0
AP009,Cooked corn rice,BKP,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,11.0,357,8.8,0.5,79.5,6.2,0.3,5.0,43.0,0.6,2.0,30.4,0.1,0.3,,0.0,0.0,0.3,0.02,0.1,0.0,100.0
AP010,"Young yellow corn, boiled",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,53.2,142,5.0,0.7,30.3,0.8,0.8,5.0,105.0,0.8,5.0,24.3,0.2,0.9,,145.0,225.0,0.15,0.0,0.7,0.0,100.0
AP011,Yellow corn flour,DABM-1964 PANGAN,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,16,12.0,355,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,510.0,0.38,0.02,0.3,,100.0
AP013,White corn flour,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,12.0,355,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,0.0,0.38,0.02,0.3,,100.0
AP014,Glutinous rice cake in woven palm leaves,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,52.0,212,4.0,4.6,38.6,0.2,0.9,8.0,46.0,1.0,,,,,0.0,0.0,0.0,0.07,,0.2,0.0,100.0
AP015,"Black glutinous rice, cooked",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,56.9,181,4.0,1.2,37.3,0.3,0.6,9.0,144.0,1.7,9.0,18.4,0.1,0.7,0.0,0.0,0.0,0.06,0.0,0.5,0.0,100.0
AP016,Fermented black glutinous rice,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106.0,1.6,5.0,12.0,,,,,0.0,0.02,,,0.0,100.0
AP017,"White glutinous rice, cooked",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,60.7,163,3.0,0.4,35.7,0.2,0.2,4.0,55.0,0.7,8.0,16.8,0.1,0.7,0.0,0.0,0.0,0.07,0.0,0.5,0.0,100.0
AP018,Fermented white glutinous rice,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,58.9,172,3.0,0.5,37.5,0.6,0.1,6.0,35.0,0.5,1.0,,,,0.0,0.0,0.0,0.04,0.0,0.2,0.0,100.0
AP019,Cornstarch,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,14.0,341,0.3,0.0,85.0,7.0,0.7,20.0,30.0,1.5,6.0,9.0,0.22,1.6,0.0,0.0,0.0,0.0,0.09,1.3,0.0,100.0
AP020,"Macaroni, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,11.7,353,8.7,0.4,78.7,4.9,2.5,20.0,80.0,0.3,5.0,0.0,0.28,1.4,,,0.0,0.1,0.13,2.2,0.0,100.0
AP021,Fresh wet noodles,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,80.0,88,0.6,3.3,14.0,0.1,2.1,14.0,13.0,6.8,63.0,13.5,0.06,0.4,,0.0,,0.0,0.0,0.0,0.0,100.0
AP022,Dried noodles,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,10.6,339,10.0,1.7,6.3,0.4,1.4,31.0,143.0,3.9,760.0,83.0,0.29,1.9,,,0.0,0.0,0.08,2.2,0.0,100.0
AP023,Thin rice noodles (misua),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,10.0,345,8.5,2.2,78.0,0.5,1.3,52.0,120.0,8.7,3064.0,44.0,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.0,100.0
AP024,White bread,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,40.0,248,8.0,1.2,50.0,9.1,0.8,10.0,95.0,1.5,530.0,91.0,0.15,0.9,0.0,0.0,0.0,0.1,0.29,2.4,0.0,100.0
AP025,Wheat flour,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,11.8,333,9.0,1.0,77.2,0.3,1.0,22.0,150.0,1.3,2.0,0.0,0.0,2.8,0.0,0.0,0.0,0.1,0.07,1.0,0.0,100.0
AP029,Biscuit,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,2.2,458,6.9,14.4,75.1,2.1,1.4,62.0,87.0,2.7,241.0,20.3,0.16,0.6,0.0,14.0,,0.09,0.15,1.4,0.0,100.0
AP030,Bakpia bean-filled pastry,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,38.9,272,8.7,6.7,44.1,0.9,1.6,194.0,117.0,4.5,,,,,,,1392.0,0.31,1.0,2.9,0.0,100.0
AP031,Vegetable fritter (bakwan),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,40.5,280,8.2,10.2,39.0,3.4,2.1,204.0,79.0,7.0,,,,,0.0,,0.0,0.08,,,0.0,100.0
AP032,Rice cake in coconut leaves,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,52.3,190,3.3,0.3,43.5,3.4,0.6,9.0,0.0,0.4,164.0,84.0,0.2,0.9,,,,0.27,0.02,3.6,,100.0
AP034,Corn and vegetable porridge (batar daan),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,17,75.3,107,2.2,2.2,19.6,,0.7,20.0,30.0,0.6,200.0,90.0,0.1,,,,,0.18,0.02,,,100.0
AP038,Cracked sponge cake,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,55.6,197,3.3,4.6,35.6,,0.9,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,100.0
AP039,Fermented rice cake (brem),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,37.4,249,3.4,0.4,58.0,0.0,0.9,198.0,86.0,2.0,,,,,0.0,,240.0,0.34,0.0,0.0,0.0,100.0
AP040,Manado mixed vegetable porridge (tinotuan),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,80.9,156,2.3,0.2,15.6,8.2,1.0,41.0,20.0,0.4,486.0,164.0,0.3,0.4,,1437.0,,0.1,0.04,,15.0,100.0
AP041,Fermented cassava cake,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,32.2,323,4.9,11.5,50.1,1.4,1.4,131.0,83.0,2.6,,,,,26.0,,1872.0,0.38,0.16,0.3,0.0,100.0
AP043,Balinese sweet sticky confection (dodol bali),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,26.5,298,3.7,2.1,65.9,0.4,1.8,70.0,76.0,2.5,,,,,0.0,0.0,496.0,0.28,,2.5,0.0,100.0
AP044,Galamai sweet sticky confection,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,0.0,0.0,0.0,0.03,0.06,1.8,0.0,100.0
AP045,Ambarella sweet sticky confection (dodol kedondong),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,26.4,331,1.9,7.6,63.8,1.0,0.4,90.0,55.0,2.3,,,,,0.0,,408.0,0.11,,0.8,5.0,100.0
AP046,Manadonese sweet sticky confection (dodol manado),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,0.0,0.0,0.0,0.04,0.06,2.1,0.0,100.0
AP047,Puffed rice crackers (emping beras),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,13.6,403,10.6,2.2,71.7,0.2,1.9,11.0,240.0,0.3,1.0,113.0,0.3,2.4,,,0.0,0.0,0.16,,0.0,100.0
AP048,Glutinous rice ball snack (gemblong),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,36.2,274,1.7,5.4,55.5,2.2,1.2,69.0,55.0,3.3,,,,,0.0,0.0,0.0,0.0,,,0.0,100.0
AP049,Fried rice cracker (gendar),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,30.4,407,6.4,28.2,32.0,0.1,3.0,216.0,62.0,1.6,,,,,0.0,,184.0,0.16,0.0,0.6,0.0,100.0
AP050,Fried rice crust cracker (intip),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,6.5,474,7.6,21.6,62.3,1.2,2.0,323.0,64.0,2.5,0.0,38.0,0.05,0.5,0.0,,200.0,0.25,0.01,0.8,0.0,100.0
AP051,Boiled whole corn kernels (gerontol),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,61.7,156,2.7,1.3,33.3,1.0,0.8,51.0,105.0,1.2,,,,,0.0,,162.0,0.08,0.0,0.0,0.0,100.0
AP052,Pressed corn cake (jagung titi),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,9.2,374,9.4,2.2,79.1,0.8,0.1,14.0,142.0,2.9,,,9.0,,,,11507.0,0.2,,,,100.0
AP053,Corn snack crackers (japilus),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,3.8,500,1.2,25.1,67.3,0.4,2.7,186.0,29.0,4.9,,,,,0.0,,0.0,0.17,0.03,0.4,0.0,100.0
AP055,Corn and bean porridge (kambose),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,61.5,164,3.0,2.4,32.6,4.3,0.7,16.0,36.0,0.7,0.0,32.0,0.1,1.6,0.0,256.0,,0.1,0.1,0.4,,100.0
AP056,Corn porridge with coconut (kapusa),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,63.5,158,4.4,3.2,27.8,5.3,1.0,79.0,115.0,1.2,104.0,149.0,0.5,1.1,0.0,1374.0,,0.06,0.05,0.1,0.0,100.0
AP058,Pandan glutinous rice ball (klepon),KZGMI-2001 PANGAN,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,18,49.6,215,3.7,3.7,41.8,1.0,1.2,232.0,45.0,3.3,,,,,0.0,,872.0,0.09,0.07,0.2,0.0,100.0
AP062,Sweet coconut sugar topping (koya),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,13.2,366,4.2,4.3,77.5,0.8,0.8,153.0,222.0,7.0,,,,,0.0,,,,,,0.0,100.0
AP063,Flavored sweet coconut topping (koya mirasa),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,7.2,370,8.0,1.0,82.2,0.4,1.6,83.0,110.0,17.0,,,,,3.0,,144.0,0.19,0.45,2.6,0.0,100.0
AP065,Ali cake,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,12.8,440,3.8,18.5,64.5,0.3,0.4,27.0,47.0,2.5,,,,,0.0,,0.0,0.13,0.09,0.0,0.0,100.0
AP068,Ginger cake,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,3.7,425,1.6,8.8,84.6,1.2,1.3,155.0,61.0,4.0,,,,,0.0,,0.0,0.2,,,0.0,100.0
AP069,Coconut cake,KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,3.3,591,5.6,42.1,47.5,,1.5,32.0,180.0,1.6,33.0,443.0,0.5,1.1,,,,,,,,100.0
AP072,Soft sweet potato pudding cake (kue lumpur),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,40.1,291,3.6,11.1,44.1,,1.1,96.0,60.0,2.3,,,,,20.0,,400.0,0.24,,,,100.0
AP074,Steamed rice flour cup cake (putu cangkir),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,32.6,304,5.3,7.0,54.9,0.9,0.2,18.0,193.0,4.0,,,,,0.0,,0.0,0.06,,,0.0,100.0
AP075,Choux pastry (kue sus),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,56.6,221,7.5,10.2,24.8,,0.9,105.0,85.0,2.5,,,,,26.0,,1300.0,0.12,,,0.0,100.0
AP076,Acehnese banana leaf cake (timphan),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,43.0,247,2.9,4.2,49.5,,0.4,16.0,107.0,1.8,95.0,56.0,1.3,0.8,,,,0.17,,,,100.0
AP078,Layered spiced cake (lapis legit),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,21.3,389,6.6,15.7,55.5,0.5,0.9,16.0,136.0,1.9,,,,,41.0,,1032.0,0.26,0.09,3.0,0.0,100.0
AP079,Glutinous rice cake with coconut and palm sugar (lupis),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,61.0,164,1.8,2.1,34.5,0.7,0.6,119.0,31.0,1.5,,,,,0.0,,0.0,0.09,0.0,0.2,0.0,100.0
AP081,Indian-style stuffed pancake (martabak India),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,65.8,153,4.5,4.2,24.3,,1.2,14.0,108.0,2.4,240.0,112.0,0.4,0.5,,,,,,,,100.0
AP082,Egyptian-style stuffed pancake (martabak Mesir),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,19,40.2,278,5.1,8.6,45.0,,1.1,49.0,168.0,3.4,193.0,123.0,0.2,0.9,,,,,,,,100.0
AP085,Chicken noodle soup (mie ayam),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,78.6,102,6.2,3.9,10.5,,0.8,262.0,51.0,1.8,279.0,,,,39.0,,166.0,0.85,,0.0,0.0,100.0
AP086,Meatball noodle soup (mie bakso),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,74.5,114,5.3,3.0,16.4,0.1,0.8,286.0,53.0,1.9,760.0,,,,17.0,,180.0,0.16,,,0.0,100.0
AP087,Noodle soup with coconut broth (mie celon),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,75.9,102,3.0,2.1,17.8,,1.2,12.0,84.0,1.4,451.0,112.0,0.1,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
AP088,Fresh wonton noodle (mie pangsit),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,79.2,105,5.9,4.9,9.4,,0.7,208.0,48.0,2.0,530.0,,,,25.0,,620.0,0.46,,,0.0,100.0
AP089,Rich coconut rice (nasi gemuk),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,61.4,192,3.8,8.8,24.4,0.7,1.6,15.0,74.0,1.0,355.0,63.0,0.2,1.4,0.0,0.0,,0.19,0.05,2.0,0.0,100.0
AP090,Savory coconut rice (nasi gurih),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,60.5,190,4.7,7.5,26.0,0.7,1.3,12.0,62.0,0.8,296.0,52.0,0.2,1.2,0.0,0.0,,0.11,0.06,2.1,0.0,100.0
AP091,Oil-cooked spiced rice (nasi minyak),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,53.3,207,3.5,5.0,37.1,0.8,1.1,26.0,100.0,1.5,74.0,174.0,0.2,2.2,0.0,0.0,,0.14,0.07,2.6,0.0,100.0
AP092,Mixed rice with side dishes (nasi rames),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,65.8,155,10.3,4.2,19.1,,0.6,239.0,62.0,1.8,265.0,,,,96.0,,3140.0,0.59,,,,100.0
AP093,Special nopia mung bean pastry,KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,11.5,387,5.3,7.6,74.3,0.3,1.3,903.0,133.0,4.2,,,,,,,512.0,0.17,,,0.0,100.0
AP096,Baked pastry with filling (pastel),KZGMS-1993,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,38.3,307,4.5,13.3,42.4,,1.5,296.0,53.0,2.5,,,,,0.0,,5360.0,0.15,,,0.0,100.0
AP097,Glutinous rice (pulut),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,49.1,216,2.6,3.1,44.4,,0.8,6.0,70.0,3.8,100.0,22.0,0.4,1.3,0.0,0.0,,0.14,,,,100.0
AP098,Rice parcel in coconut leaf (pundut nasi),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,77.8,104,1.9,4.1,15.1,0.4,1.1,26.0,100.0,1.5,74.0,174.0,0.0,0.0,,,,,,,,100.0
AP100,Layered glutinous rice snack (putri selat),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,66.6,163,2.2,6.5,23.8,,0.9,72.0,3.0,4.0,6.0,68.0,,,0.0,0.0,,,,,,100.0
AP102,Fried ring-shaped rice crackers (renggi),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,8.8,471,4.7,21.8,64.1,6.4,0.6,4.0,80.0,1.1,126.0,29.0,0.9,1.3,0.0,0.0,0.0,0.53,0.05,8.2,0.0,100.0
AP103,Hollow bread roll (roti boong),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,34.0,341,5.5,16.2,43.3,,1.0,15.0,65.0,1.1,161.0,41.0,,0.9,,,,0.4,0.3,2.4,0.0,100.0
AP104,Brown-colored bread,DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,40.0,249,7.9,1.5,49.7,,0.9,20.0,140.0,2.5,500.0,91.0,,,0.0,0.0,0.0,0.15,,,0.0,100.0
AP105,Pandan custard glutinous rice cake (sarimuka),KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,61.5,166,2.3,2.8,32.9,,0.5,36.0,13.0,2.0,3.0,34.0,0.0,0.0,,,,,,,,100.0
AP106,Spaghetti,KZGMS-1993 PANGAN,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,20,66.1,139,7.4,2.1,22.6,,2.1,109.0,53.0,4.7,,,,,42.0,,940.0,0.35,,,0.0,100.0
AP109,Shredded rice cake (suwir-suwir),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,21,13.4,347,0.5,0.9,84.2,0.8,1.0,42.0,40.0,4.3,,,,,1.0,,240.0,0.13,,0.9,0.0,100.0
AP110,Roasted rice snack (tipa-tipa),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,21,11.3,355,6.2,1.2,79.8,1.3,1.5,17.0,328.0,1.6,,,,,0.0,0.0,0.0,0.26,0.04,1.5,0.0,100.0
AP111,Palm sugar sticky rice snack (wajit),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,21,27.1,303,6.3,2.7,63.3,6.9,0.6,61.0,302.0,5.5,,,,,0.0,,0.0,0.03,,,0.0,100.0
AP112,Ring-shaped sweet rice cracker (widaran),KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,composite,21,7.0,424,1.3,10.7,80.7,0.2,0.3,49.0,88.0,2.5,,,,,21.0,,440.0,0.13,0.2,2.2,0.0,100.0
